,Links,Title,Details,Rating,Price
96,https://www.airbnb.com/rooms/649597414587516963?adults=1&children=0&infants=0&pets=0&check_in=2022-12-08&check_out=2022-12-13&previous_page_section_name=1000,Condo in Cambs,"Cozy apartment , 65 sqm,  on the 2nd floor",5.0 (38),$79 per night
97,https://www.airbnb.com/rooms/46935922?adults=1&children=0&infants=0&pets=0&check_in=2022-12-18&check_out=2022-12-25&previous_page_section_name=1000,Townhouse in Göhren-Lebbin,Mecklenburg Haus-am-Plauersee.de,4.74 (155),$231 per night
98,https://www.airbnb.com/rooms/35825060?adults=1&children=0&infants=0&pets=0&check_in=2022-12-09&check_out=2022-12-14&previous_page_section_name=1000,Bungalow in Borkow,"Bungalow in an idyllic, quiet location by the water",4.98 (84),$59 per night
99,https://www.airbnb.com/rooms/51814360?adults=1&children=0&infants=0&pets=0&check_in=2023-01-03&check_out=2023-01-10&previous_page_section_name=1000,Cottage in Hohen Wangelin,Villa Kunterbunt: Very cosy and almost perfect,4.6 (5),$74 per night
100,https://www.airbnb.com/rooms/36659863?adults=1&children=0&infants=0&pets=0&check_in=2022-12-08&check_out=2022-12-13&previous_page_section_name=1000,Apartment in Krakow am See,AMUURA Apartment- 1 in Krakow am See,4.95 (41),$74 per night
101,https://www.airbnb.com/rooms/54102575?adults=1&children=0&infants=0&pets=0&check_in=2022-12-08&check_out=2022-12-13&previous_page_section_name=1000,Apartment in Lohmen,Landhaus am Teich 1,5.0 (16),$67 per night
102,https://www.airbnb.com/rooms/3702812?adults=1&children=0&infants=0&pets=0&check_in=2022-12-12&check_out=2022-12-19&previous_page_section_name=1000,Cottage in Groß Pankow (Prignitz),Romantic country house for you,4.74 (331),"$119 per night, originally $141"
103,https://www.airbnb.com/rooms/15830840?adults=1&children=0&infants=0&pets=0&check_in=2023-01-03&check_out=2023-01-08&previous_page_section_name=1000,Private room in Schwerin,Room with a view  ( and bunk bed),4.59 (165),$37 per night
104,https://www.airbnb.com/rooms/49251918?adults=1&children=0&infants=0&pets=0&check_in=2022-12-17&check_out=2022-12-23&previous_page_section_name=1000,Apartment in Plau am See,Swebenhus upstairs - 4-star apartment,4.57 (172),$143 per night
105,https://www.airbnb.com/rooms/15531376?adults=1&children=0&infants=0&pets=0&check_in=2023-01-01&check_out=2023-01-06&previous_page_section_name=1000,Villa in Parchim,"Villa ""St. Nikolai"" - Standard 2 Bedroom",4.96 (67),$90 per night
106,https://www.airbnb.com/rooms/548416922425447604?adults=1&children=0&infants=0&pets=0&check_in=2022-12-11&check_out=2022-12-16&previous_page_section_name=1000,Apartment in Schwerin,Apartment-Budget-Private Bathroom,4.47 (32),$79 per night
107,https://www.airbnb.com/rooms/38820593?adults=1&children=0&infants=0&pets=0&check_in=2022-12-08&check_out=2022-12-15&previous_page_section_name=1000,Apartment in Borkow,Holiday apartment in the Rothener See Natural Park,5.0 (19),"$77 per night, originally $84"
108,https://www.airbnb.com/rooms/626637616967111593?adults=1&children=0&infants=0&pets=0&check_in=2022-12-09&check_out=2022-12-14&previous_page_section_name=1000,Farm stay in Witzin,Cheerful farmhouse with fireplace,4.96 (23),$98 per night
